N=M, T1, T2, S2, T4, S4, T7, S7, T8, S8, T16, S16, T20, S20, T40, S40
20000,0.645435,0.352442,1.831324,0.196618,3.282684,0.118729,5.436199,0.088746,7.272850,0.058780,10.980531,0.044148,14.619814,0.032217,20.033975
40000,3.284228,1.363246,2.409124,1.023214,3.209718,0.924100,3.553975,0.350301,9.375445,0.205840,15.955239,0.147713,22.233854,0.120340,27.291218
