N=M,T1,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000,0.71406,0.336157,2.12419,0.174938,4.08179,0.105135,6.79186,0.0915878,7.79645,0.0416873,17.1289,0.0387591,18.423,0.035074,20.3586
40000,2.55405,1.33756,1.90948,0.667145,3.82833,0.40242,6.34672,0.360643,7.08193,0.188316,13.5626,0.153561,16.6321,0.131444,19.4307
